N,P,K,temperature,humidity,ph,rainfall,label
80.27,42.98,15.66,23.1,73.07,6.16,81.87,maize
63.38,44.16,13.4,23.59,67.27,7.23,98.91,maize
85.23,47.83,21.32,21.33,63.78,5.88,85.49,maize
80.78,49.17,18.49,25.45,69.82,6.86,80.63,maize
79.05,55.75,16.94,19.85,70.95,6.87,77.87,maize
84.86,43.01,22.13,19.37,58.86,5.98,80.98,maize
90.32,52.92,20.73,22.75,67.99,6.43,80.12,maize
85.11,46.93,18.31,24.39,68.51,6.85,85.7,maize
62.27,47.75,16.16,25.67,63.51,6.05,85.61,maize
66.76,51.37,22.62,21.38,71.88,6.12,84.03,maize
72.0,42.39,21.95,24.46,64.25,5.97,88.37,maize
77.21,49.91,19.7,22.22,65.63,5.79,95.91,maize
81.14,48.83,25.54,21.95,64.13,5.94,93.5,maize
71.19,50.46,16.79,24.07,65.08,5.71,69.15,maize
78.49,49.45,15.42,23.6,59.52,6.21,58.46,maize
70.96,60.28,17.92,19.15,57.8,5.89,93.34,maize
72.11,44.81,19.86,25.25,72.97,6.29,70.33,maize
65.75,45.35,20.73,25.06,60.77,5.58,81.75,maize
69.61,44.88,19.28,21.05,60.04,6.33,72.3,maize
66.19,45.22,21.06,23.09,54.23,6.53,65.98,maize
69.19,44.81,16.25,23.29,61.81,5.4,89.41,maize
85.43,53.95,24.33,22.82,58.38,6.35,91.59,maize
69.4,55.1,19.75,21.2,73.21,6.69,78.23,maize
98.06,45.15,23.35,20.96,70.05,5.72,58.09,maize
80.95,43.84,21.03,22.25,61.56,6.87,78.54,maize
78.48,50.36,21.37,24.65,76.26,6.37,87.92,maize
70.13,45.24,21.71,23.39,69.91,5.92,69.21,maize
82.6,51.16,21.34,21.56,63.38,6.18,85.83,maize
72.39,49.01,21.93,23.84,52.5,6.42,83.85,maize
77.98,40.42,23.99,16.6,76.45,6.23,89.79,maize
97.48,55.74,20.59,24.6,58.05,6.42,85.2,maize
76.23,56.98,22.13,18.82,56.77,5.83,74.27,maize
86.19,44.94,19.73,21.58,70.11,6.27,95.97,maize
71.37,46.06,24.32,20.06,77.2,5.63,82.41,maize
76.72,49.43,17.97,19.71,71.92,6.16,83.73,maize
91.17,49.67,25.4,24.62,67.82,5.84,74.67,maize
71.98,51.29,19.88,21.36,67.97,5.91,79.57,maize
91.5,58.05,15.71,22.99,69.27,6.69,75.15,maize
82.66,47.12,20.38,22.21,68.79,6.64,82.27,maize
72.5,44.01,17.96,23.25,66.41,6.44,101.12,maize
82.06,41.1,22.52,22.45,65.52,5.76,70.28,maize
84.78,44.35,18.04,19.73,64.69,6.07,67.86,maize
81.97,47.83,18.66,24.29,61.23,6.69,98.71,maize
64.44,56.97,14.33,21.31,63.6,6.26,81.91,maize
71.18,45.41,18.64,19.19,56.54,7.13,77.31,maize
75.02,49.12,12.73,21.44,64.51,6.36,94.4,maize
76.4,47.92,15.25,25.3,60.06,6.28,77.94,maize
81.97,53.94,22.28,24.0,59.48,6.08,102.26,maize
78.42,60.63,22.36,21.6,65.9,6.25,90.78,maize
66.32,45.35,21.28,21.6,71.96,6.14,79.12,maize
80.04,45.55,17.1,21.66,69.59,6.48,105.57,maize
81.88,53.22,19.86,26.45,57.15,6.58,77.94,maize
81.48,51.41,19.99,23.06,60.05,5.89,91.42,maize
85.65,57.23,16.52,23.16,69.7,5.67,86.99,maize
83.67,50.92,24.51,24.36,60.09,5.47,97.02,maize
80.67,46.2,22.63,22.78,63.88,6.4,99.62,maize
76.44,50.95,19.34,21.78,67.75,5.76,84.32,maize
63.71,53.54,20.08,21.91,60.16,5.34,76.47,maize
80.44,52.1,20.63,22.16,65.53,6.36,88.6,maize
78.66,50.54,13.87,22.23,58.33,7.2,77.22,maize
79.17,53.33,19.26,23.76,61.99,6.2,104.13,maize
66.79,53.85,17.95,22.4,66.6,6.54,85.37,maize
68.35,54.91,17.0,23.77,57.04,6.23,80.35,maize
85.43,51.24,19.16,22.14,67.2,6.16,85.85,maize
76.68,47.16,25.39,22.46,64.9,6.57,70.53,maize
82.45,48.73,21.92,18.3,67.76,6.08,74.28,maize
77.23,54.03,18.29,24.13,66.12,6.31,96.0,maize
77.24,43.92,21.72,22.99,71.82,6.33,77.43,maize
34.77,72.67,79.09,19.53,20.6,7.51,74.6,chickpea
42.68,64.69,86.87,19.78,16.68,7.2,78.84,chickpea
45.93,63.09,76.77,20.04,15.38,7.65,73.66,chickpea
43.59,67.98,76.0,20.9,14.0,7.41,77.54,chickpea
44.98,66.98,77.59,19.64,14.0,7.27,64.85,chickpea
36.22,65.28,75.23,18.47,14.0,7.43,81.71,chickpea
32.89,72.18,80.61,20.11,17.33,6.83,80.01,chickpea
47.51,73.73,88.12,22.32,17.82,6.96,73.46,chickpea
38.39,68.53,81.62,18.66,14.0,6.94,85.27,chickpea
38.75,76.87,78.74,17.15,18.59,7.34,87.5,chickpea
46.64,61.15,78.54,20.89,15.83,7.82,67.14,chickpea
42.78,66.84,72.18,18.68,17.09,7.97,73.9,chickpea
42.28,63.7,84.42,14.99,20.02,7.49,73.85,chickpea
50.83,56.8,79.61,20.43,18.59,7.45,72.48,chickpea
36.78,67.5,79.1,17.94,16.26,6.76,86.64,chickpea
44.64,67.27,95.97,18.74,15.02,7.14,78.45,chickpea
40.29,77.08,81.49,19.5,14.0,7.06,77.88,chickpea
41.34,71.78,76.24,19.24,15.36,7.11,63.97,chickpea
47.64,61.85,77.87,20.18,16.38,7.25,85.08,chickpea
42.54,79.12,85.74,18.12,14.83,7.16,70.09,chickpea
42.69,75.33,80.57,19.82,16.54,6.71,80.48,chickpea
45.36,71.49,72.81,18.43,16.95,7.52,82.22,chickpea
38.18,66.64,84.6,20.23,16.35,6.98,90.89,chickpea
35.8,62.24,76.66,20.01,15.5,7.37,69.53,chickpea
34.78,65.77,89.37,17.22,17.14,7.92,55.84,chickpea
30.17,74.53,85.4,20.85,17.68,7.02,81.47,chickpea
50.28,79.31,77.76,17.94,14.62,6.54,94.4,chickpea
34.48,77.26,86.41,20.35,19.62,7.21,89.91,chickpea
38.89,65.07,80.34,19.56,16.6,7.63,81.68,chickpea
38.62,61.28,84.26,22.21,16.84,7.89,76.07,chickpea
41.54,68.85,82.42,18.5,18.22,6.93,86.46,chickpea
44.08,57.39,75.77,18.27,17.27,7.45,72.21,chickpea
44.3,69.94,76.78,18.87,18.71,7.16,83.81,chickpea
37.08,67.11,85.15,18.35,17.37,7.27,84.04,chickpea
39.16,65.2,78.33,20.34,15.58,8.09,88.48,chickpea
41.41,58.43,77.98,15.99,17.52,6.85,102.08,chickpea
38.76,71.08,75.22,17.0,14.51,7.38,83.14,chickpea
48.04,64.8,82.12,16.98,17.02,7.44,75.93,chickpea
42.45,60.98,90.31,20.61,16.73,7.63,79.8,chickpea
43.67,50.77,74.66,21.98,16.38,7.33,65.85,chickpea
43.31,67.83,80.12,18.71,16.54,7.39,74.44,chickpea
45.87,78.63,87.06,18.6,14.0,7.18,76.73,chickpea
40.91,77.97,79.6,19.03,15.7,7.38,75.81,chickpea
33.52,65.26,82.26,20.99,16.99,7.2,81.22,chickpea
42.0,64.39,74.69,17.23,17.12,7.49,73.42,chickpea
36.74,70.81,82.14,19.33,14.74,7.19,88.97,chickpea
37.36,62.01,79.06,20.66,19.33,7.41,80.0,chickpea
42.93,69.81,84.93,19.8,15.07,7.29,79.93,chickpea
46.19,72.6,85.94,19.24,18.74,7.64,77.38,chickpea
40.11,75.36,92.95,20.7,17.65,7.28,81.24,chickpea
41.54,67.4,82.9,14.03,15.51,6.77,86.6,chickpea
48.51,66.78,81.63,20.12,20.35,7.68,73.06,chickpea
41.2,62.73,80.97,17.72,14.41,7.03,74.74,chickpea
53.01,63.04,78.23,15.6,18.64,7.1,77.57,chickpea
42.83,66.64,81.69,19.82,18.8,7.12,69.23,chickpea
31.2,70.2,78.52,21.37,15.46,7.71,73.45,chickpea
43.77,73.48,80.84,18.65,19.58,6.66,76.19,chickpea
41.91,63.18,86.59,20.62,16.3,8.24,87.0,chickpea
46.45,76.96,74.97,21.8,17.38,7.62,82.1,chickpea
43.37,66.37,85.7,21.27,17.32,7.37,81.55,chickpea
39.31,67.87,86.59,21.85,16.53,7.28,86.81,chickpea
33.88,63.52,79.41,20.24,18.42,7.39,78.9,chickpea
38.95,53.45,69.39,19.04,18.39,7.46,83.12,chickpea
35.75,73.3,76.96,16.02,14.0,7.49,79.17,chickpea
37.1,72.42,86.48,18.46,19.41,7.47,82.12,chickpea
42.94,66.31,79.89,17.38,14.0,7.33,75.34,chickpea
48.35,68.4,75.0,22.81,18.87,7.24,60.49,chickpea
41.97,71.1,77.48,18.58,19.05,7.25,78.93,chickpea
34.02,58.62,84.2,19.12,14.62,7.24,91.38,chickpea
42.22,64.83,82.73,19.89,15.98,7.64,87.41,chickpea
45.98,72.77,78.81,18.98,14.59,7.48,87.72,chickpea
36.95,60.47,78.17,21.95,16.37,6.42,89.89,chickpea
39.33,69.76,78.04,17.78,16.18,7.5,80.71,chickpea
40.07,59.86,75.39,19.25,18.36,7.36,81.58,chickpea
36.08,70.8,88.08,17.56,19.42,7.29,75.06,chickpea
43.24,67.79,78.39,16.52,19.59,7.18,77.47,chickpea
39.4,58.31,86.09,17.8,15.68,7.64,84.93,chickpea
42.1,74.99,87.61,18.83,16.38,7.58,89.63,chickpea
35.56,63.59,84.99,18.13,14.0,7.07,78.88,chickpea
37.81,63.14,77.84,17.65,15.19,7.42,76.4,chickpea
43.61,69.2,82.02,16.37,18.73,7.01,80.0,chickpea
38.14,74.89,79.88,18.75,20.03,6.89,84.81,chickpea
48.63,61.91,75.48,16.19,14.33,7.11,68.45,chickpea
38.0,68.37,81.62,20.27,15.62,7.56,61.63,chickpea
41.12,70.57,74.1,19.05,16.75,7.59,75.6,chickpea
44.66,72.16,85.94,16.28,17.36,7.45,70.23,chickpea
32.91,69.06,77.68,18.34,15.18,7.52,75.93,chickpea
31.2,65.8,81.01,17.55,17.65,7.45,78.82,chickpea
32.37,63.03,81.42,19.47,15.85,7.11,76.37,chickpea
46.31,68.52,78.71,21.31,16.77,7.43,91.62,chickpea
37.24,61.57,82.93,15.52,17.89,7.54,82.61,chickpea
52.79,50.47,77.63,19.11,16.81,7.53,82.4,chickpea
37.18,70.62,84.36,18.61,15.93,7.66,84.98,chickpea
40.92,73.42,73.27,20.11,16.58,7.51,70.89,chickpea
47.71,53.82,80.63,19.28,16.62,7.41,88.31,chickpea
50.03,61.94,89.69,17.55,16.06,7.62,79.39,chickpea
50.31,71.71,75.0,18.33,16.28,7.29,85.36,chickpea
46.04,80.34,76.61,17.47,20.0,7.04,71.43,chickpea
45.12,68.12,82.57,20.84,17.92,7.25,67.57,chickpea
42.96,63.63,80.9,18.94,16.21,7.08,86.54,chickpea
21.51,76.02,23.16,19.02,23.03,5.14,109.87,kidneybeans
16.39,66.05,17.01,20.37,24.02,5.89,116.91,kidneybeans
16.52,70.6,18.85,19.28,20.77,5.51,126.12,kidneybeans
24.5,60.53,20.75,19.69,20.07,5.34,116.24,kidneybeans
15.24,62.22,25.99,22.61,18.89,5.51,108.49,kidneybeans
26.57,69.36,29.33,22.11,19.54,5.64,116.45,kidneybeans
16.4,74.42,21.82,18.15,28.97,5.52,107.45,kidneybeans
22.55,68.78,19.45,21.34,24.71,5.04,106.24,kidneybeans
18.69,65.43,21.6,21.32,18.22,5.97,102.49,kidneybeans
22.41,67.0,22.66,18.38,18.29,6.08,121.63,kidneybeans
17.82,60.75,19.04,21.33,22.8,5.9,97.82,kidneybeans
19.35,70.02,25.39,22.41,22.97,5.36,121.32,kidneybeans
20.16,71.41,20.69,18.42,22.97,5.64,111.0,kidneybeans
15.99,64.74,21.49,18.72,20.96,5.7,92.01,kidneybeans
22.96,64.65,22.0,21.63,21.29,5.88,109.68,kidneybeans
17.95,68.33,21.26,20.51,22.42,5.9,85.0,kidneybeans
19.09,64.82,22.52,20.93,21.81,5.48,112.26,kidneybeans
16.02,66.67,18.15,20.61,16.05,5.72,114.85,kidneybeans
9.75,77.5,18.33,20.69,21.03,5.84,100.08,kidneybeans
19.24,65.76,16.7,18.11,19.47,6.14,107.24,kidneybeans
29.65,65.21,21.32,21.67,22.04,5.91,125.54,kidneybeans
23.14,63.76,22.34,21.85,29.06,5.94,100.94,kidneybeans
19.92,70.72,21.37,19.76,22.52,5.73,95.41,kidneybeans
18.95,66.09,25.02,20.03,20.82,6.12,120.82,kidneybeans
20.09,63.75,19.98,17.8,23.9,5.82,125.63,kidneybeans
22.19,73.61,22.01,20.87,22.81,5.44,106.04,kidneybeans
15.28,74.1,16.72,20.96,22.65,6.12,116.11,kidneybeans
24.46,64.0,18.84,20.01,23.12,5.91,119.41,kidneybeans
22.86,57.67,22.09,21.79,26.74,5.57,98.58,kidneybeans
22.87,72.04,22.55,19.6,18.77,5.56,101.15,kidneybeans
21.75,63.58,19.12,20.95,22.78,5.79,118.31,kidneybeans
20.08,70.95,19.79,18.57,19.28,5.84,122.85,kidneybeans
22.69,57.15,15.45,20.06,22.99,5.76,111.63,kidneybeans
22.37,71.46,18.93,19.84,19.3,5.79,97.2,kidneybeans
18.58,60.94,22.67,20.44,20.56,6.21,125.87,kidneybeans
17.71,70.65,21.73,19.55,20.86,6.02,100.69,kidneybeans
20.41,67.07,21.5,19.9,24.04,5.76,102.65,kidneybeans
26.2,62.23,20.15,21.34,23.9,5.98,109.42,kidneybeans
15.04,64.96,20.02,19.44,18.49,5.39,121.54,kidneybeans
14.13,70.43,18.02,17.69,21.74,5.82,114.54,kidneybeans
20.66,67.53,22.1,22.72,19.83,6.24,110.15,kidneybeans
20.2,69.92,21.26,22.17,18.45,5.63,110.63,kidneybeans
20.69,76.88,21.48,18.16,21.06,5.45,106.44,kidneybeans
20.98,59.18,18.42,21.13,20.83,5.5,111.58,kidneybeans
19.11,75.09,13.54,19.35,27.67,5.37,80.7,kidneybeans
25.96,67.52,23.29,20.5,22.68,5.46,103.03,kidneybeans
13.6,62.51,18.56,20.54,18.16,5.59,108.41,kidneybeans
16.69,60.35,17.41,19.75,20.19,5.28,94.49,kidneybeans
19.59,66.05,22.08,18.92,24.15,5.7,109.86,kidneybeans
13.43,71.61,18.82,19.06,26.82,5.97,103.96,kidneybeans
19.3,66.36,23.18,18.73,17.64,5.43,123.55,kidneybeans
26.65,74.56,21.85,18.85,16.9,6.16,121.73,kidneybeans
20.08,59.74,22.05,20.0,26.28,5.85,101.34,kidneybeans
20.92,66.94,15.9,19.03,22.57,6.01,104.49,kidneybeans
14.96,60.74,23.64,21.12,19.43,5.5,105.26,kidneybeans
17.53,68.82,20.78,22.33,22.94,5.96,101.48,kidneybeans
18.5,71.43,18.89,19.23,15.01,5.37,107.95,kidneybeans
18.73,64.9,20.43,20.46,21.61,5.97,98.42,kidneybeans
25.13,53.98,14.67,20.85,22.42,5.75,94.69,kidneybeans
22.23,67.99,21.23,20.81,23.91,5.87,112.23,kidneybeans
15.55,69.18,16.91,20.21,19.07,5.35,112.3,kidneybeans
20.99,69.02,15.94,21.21,21.81,5.43,97.96,kidneybeans
21.99,73.18,15.43,20.82,19.29,5.88,114.95,kidneybeans
24.56,61.64,23.34,18.24,22.24,5.42,99.68,kidneybeans
26.32,70.4,18.11,21.4,19.36,5.84,108.53,kidneybeans
15.94,72.96,24.6,21.43,20.58,5.29,114.2,kidneybeans
16.76,58.11,18.39,18.96,19.11,5.95,105.66,kidneybeans
14.97,68.6,14.88,20.16,23.23,5.33,110.55,kidneybeans
19.06,64.48,16.65,21.12,23.75,5.87,100.84,kidneybeans
21.87,66.59,23.71,19.79,21.01,5.89,104.04,kidneybeans
23.95,68.74,19.53,21.71,21.7,5.49,103.94,kidneybeans
19.7,64.56,18.36,23.65,17.98,5.87,98.53,kidneybeans
18.72,63.62,20.48,18.92,20.85,5.78,104.23,kidneybeans
20.61,67.17,21.51,18.03,21.47,5.54,90.51,kidneybeans
16.66,61.56,23.35,20.56,28.15,5.4,101.09,kidneybeans
28.36,61.57,24.35,21.18,18.82,5.11,103.15,kidneybeans
13.57,70.4,18.92,19.75,25.26,5.8,103.44,kidneybeans
20.74,61.26,16.02,22.28,24.09,5.23,103.59,kidneybeans
28.09,70.33,18.76,18.09,22.3,5.73,105.38,kidneybeans
20.03,69.31,20.78,21.14,26.0,5.62,110.79,kidneybeans
19.24,58.37,17.11,19.19,22.53,5.9,114.75,kidneybeans
18.57,63.61,17.13,22.68,22.57,5.61,99.5,kidneybeans
19.28,72.97,21.03,23.09,21.47,5.6,93.97,kidneybeans
25.49,62.09,19.85,18.95,24.66,5.92,95.58,kidneybeans
11.15,64.68,20.1,19.28,24.34,5.8,101.13,kidneybeans
26.13,69.31,17.72,21.39,20.04,5.79,102.48,kidneybeans
14.3,70.92,19.31,19.52,18.3,5.84,98.3,kidneybeans
18.93,65.74,17.23,20.03,21.09,5.24,93.04,kidneybeans
18.28,64.01,22.67,20.14,19.6,5.93,101.44,kidneybeans
22.35,74.11,23.11,17.22,21.44,5.88,107.81,kidneybeans
13.61,75.69,14.46,20.08,24.69,5.39,111.95,kidneybeans
21.85,71.89,17.21,19.07,20.46,5.63,100.43,kidneybeans
28.1,67.43,15.51,19.36,21.49,5.69,101.87,kidneybeans
14.55,62.96,18.05,22.27,21.75,5.66,96.73,kidneybeans
20.76,62.85,19.75,18.22,23.72,5.8,105.69,kidneybeans
17.35,69.61,15.65,21.32,15.98,6.13,97.52,kidneybeans
21.7,69.09,17.23,19.68,20.08,6.02,111.73,kidneybeans
20.08,74.01,16.99,19.68,22.13,5.31,88.14,kidneybeans
17.43,70.25,20.62,21.29,24.6,5.89,102.4,kidneybeans
21.95,59.48,20.21,20.61,20.37,6.1,109.01,kidneybeans
20.74,66.77,14.28,26.29,49.03,5.94,156.37,pigeonpeas
30.77,64.88,17.42,29.41,50.23,5.42,157.55,pigeonpeas
21.4,64.15,18.76,31.0,49.21,5.89,151.93,pigeonpeas
15.98,68.65,25.66,29.84,54.49,5.39,147.52,pigeonpeas
19.62,59.41,21.67,26.24,43.34,6.24,155.54,pigeonpeas
12.9,70.75,15.99,28.42,44.72,6.22,111.02,pigeonpeas
19.68,64.92,21.46,25.11,44.24,6.01,159.23,pigeonpeas
16.67,61.35,15.36,28.84,52.25,5.94,150.89,pigeonpeas
23.66,64.75,23.25,28.6,52.6,6.5,145.66,pigeonpeas
17.8,73.29,18.59,23.96,50.36,5.8,179.7,pigeonpeas
19.53,64.32,19.72,25.38,54.02,5.33,138.88,pigeonpeas
17.46,68.79,23.98,27.13,42.21,5.98,142.95,pigeonpeas
26.96,63.35,16.14,27.1,56.44,6.63,178.87,pigeonpeas
18.72,70.79,15.81,25.28,55.72,5.39,136.52,pigeonpeas
27.33,70.43,18.25,28.48,51.78,5.66,140.75,pigeonpeas
23.26,76.24,23.12,28.2,57.01,5.97,146.79,pigeonpeas
21.93,66.12,15.44,27.31,39.82,5.78,161.61,pigeonpeas
21.47,70.34,11.5,26.19,45.48,5.41,152.12,pigeonpeas
21.58,67.49,18.65,29.8,44.42,6.25,129.61,pigeonpeas
12.29,73.48,21.66,31.01,51.71,6.73,141.02,pigeonpeas
18.88,63.41,23.6,26.73,42.85,5.88,139.89,pigeonpeas
23.38,70.73,18.61,26.48,51.89,5.44,147.84,pigeonpeas
19.8,66.03,18.77,28.68,54.95,5.18,155.39,pigeonpeas
14.38,66.68,23.46,26.98,51.58,5.9,155.27,pigeonpeas
19.79,67.46,14.39,27.42,49.52,6.24,122.36,pigeonpeas
26.82,68.26,18.83,29.18,43.16,5.99,164.96,pigeonpeas
